Entidade,Tipo,Início,Fim
Francisca,PER,19,28
Eduarda,PER,61,68
Nasci,MISC,99,104
Guimarães,LOC,108,117
Guimarães,LOC,1895,1904
Bragança,LOC,1926,1934
Ciências,MISC,2736,2744
Tecnologias,MISC,2747,2758
Economia,MISC,2789,2797
Gestão,MISC,2843,2849
Economia,MISC,2940,2948
Intermarché,ORG,3184,3195
Sim,MISC,3424,3427
Claro,MISC,3972,3977
Aprendi,PER,4352,4359
Literacia,MISC,4818,4827
Voltava,MISC,5145,5152
Gostava,LOC,5396,5403
Obrigada!,MISC,5536,5545
